AVAIL|ACTIVE_FEATURES|CPUS|TMP_DISK|FREE_MEM|AVAIL_FEATURES|GROUPS|OVERSUBSCRIBE|TIMELIMIT|MEMORY|HOSTNAMES|NODE_ADDR|PRIO_TIER|ROOT|JOB_SIZE|STATE|USER|VERSION|WEIGHT|S:C:T|NODES(A/I) |MAX_CPUS_PER_NODE |CPUS(A/I/O/T) |NODES |REASON |NODES(A/I/O/T) |GRES |TIMESTAMP |PRIO_JOB_FACTOR |DEFAULTTIME |PREEMPT_MODE |NODELIST |CPU_LOAD |PARTITION |PARTITION |ALLOCNODES |STATE |USER |CLUSTER |SOCKETS |CORES |THREADS 
up|node004,centos7|16|0|N/A|node004,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node004|node004|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |down_no_ipmi |0/0/1/1 |(null) |2021-10-05T08:18:37 |10 |n/a |OFF |node004 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node005,centos7|16|0|N/A|node005,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node005|node005|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |down_no_ipmi |0/0/1/1 |(null) |2021-10-05T08:18:37 |10 |n/a |OFF |node005 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node006,centos7|16|0|N/A|node006,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node006|node006|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |down_no_ipmi |0/0/1/1 |(null) |2021-10-05T08:18:37 |10 |n/a |OFF |node006 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|(null)|1|0|N/A|(null)|sched_mit_hill,slurm_admin|NO|12:00:00|1|node017|node017|10|no|1-infinite|drain*|root|N/A|1|1:1:1|0/0 |UNLIMITED |0/0/1/1 |1 |bring_back_from_llgrid |0/0/1/1 |(null) |2021-09-17T13:12:21 |10 |n/a |OFF |node017 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |1 |1 |1 
up|(null)|1|0|N/A|(null)|sched_mit_hill,slurm_admin|NO|12:00:00|1|node018|node018|10|no|1-infinite|drain*|root|N/A|1|1:1:1|0/0 |UNLIMITED |0/0/1/1 |1 |Bring_back_from_llgrid |0/0/1/1 |(null) |2021-09-17T12:52:26 |10 |n/a |OFF |node018 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |1 |1 |1 
up|node023,centos7|16|0|N/A|node023,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node023|node023|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |pcie_slot4_error |0/0/1/1 |gpu:1 |2021-08-27T14:08:17 |10 |n/a |OFF |node023 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node024,centos7|16|0|N/A|node024,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node024|node024|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |parts_machine |0/0/1/1 |gpu:1 |2021-01-22T09:50:13 |10 |n/a |OFF |node024 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node034,centos6|16|0|N/A|node034,centos6|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node034|node034|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |waits_on_keypress |0/0/1/1 |gpu:1 |2022-01-26T16:36:21 |10 |n/a |OFF |node034 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node036,centos6|16|0|N/A|node036,centos6|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node036|node036|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |bad_ib_card |0/0/1/1 |gpu:1 |2022-01-26T16:36:05 |10 |n/a |OFF |node036 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|(null)|1|0|N/A|(null)|sched_mit_hill,slurm_admin|NO|12:00:00|1|node045|node045|10|no|1-infinite|drain*|root|N/A|1|1:1:1|0/0 |UNLIMITED |0/0/1/1 |1 |bring_back_from_llgrid |0/0/1/1 |(null) |2021-09-17T13:12:21 |10 |n/a |OFF |node045 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |1 |1 |1 
